form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
linear,1e-07,35.0,3.7,1.5707963267948966,51,(0.1872427510464434-0.006498769669085936j),(-8.465196297554725e-06-0.0001650393653430246j),(9.423122659317062e-05-0.00016225917777082407j),(0.0003767222147032108+0.004174888437305125j),(0.0002768507316758583+0.004182498145129298j)
linear,1e-07,35.0,3.8,1.5707963267948966,51,(0.13601095616400605+0.029591916997147118j),(-6.117705644759179e-06-0.00016646324489274968j),(0.00012776139610099976-0.00016561999994903312j),(-0.0016626244060088818+0.003937139209181569j),(-0.001784131187586521+0.0038843044514893454j)
linear,1e-07,35.0,3.9,1.5707963267948966,51,(0.07585202762229493+0.03667633559983613j),(-4.124859727049973e-06-0.00016677662029197096j),(0.00011663547203928908-0.00016794397445635799j),(-0.0032835039379777425+0.002748277570495076j),(-0.0033638019432963642+0.0026610150777748027j)
linear,1e-07,35.0,4.0,1.5707963267948966,51,(0.020902209349404257+0.016717223424675846j),(-1.5735254224412702e-06-0.00017265284864960906j),(2.7029037093208633e-05-0.00017393820842155668j),(-0.004295065979495773+0.0009936691979938509j),(-0.004298696417221574+0.0009652992653457613j)
linear,1e-07,35.0,4.1,1.5707963267948966,51,(-0.0204921672951061-0.025211246758060038j),(8.267561005425568e-06-0.00017344071247487957j),(-8.49756879467325e-06-0.00017178118898996024j),(-0.004161365291264688-0.0008742335212363592j),(-0.00416486005564457-0.000859166206209964j)
linear,1e-07,35.0,4.2,1.5707963267948966,51,(-0.04025801182233751-0.07745931671819659j),(-2.891595713233174e-06-0.00016973481968951169j),(5.8887928132363046e-05-0.00016745313970372233j),(-0.003520930042376499-0.0024007116525285328j),(-0.0034876160003995335-0.0024500664838164894j)
linear,1e-07,35.0,4.3,1.5707963267948966,51,(-0.03881273959243824-0.13222581338668227j),(8.112933577203614e-06-0.0001670782218583859j),(-6.739684967716018e-05-0.0001666467988681379j),(-0.00221267113272838-0.0035645377441363975j),(-0.0022755923967811838-0.0035376363186397763j)
linear,1e-07,35.0,4.4,1.5707963267948966,51,(-0.01829168384336228-0.18132144715046006j),(3.305004651400337e-06-0.00016395875188019338j),(1.665123260638588e-05-0.00016616788988558872j),(-0.0008569849882302753-0.004157179207046478j),(-0.0008507622847028166-0.004179626505219875j)
linear,1e-07,35.0,4.5,1.5707963267948966,51,(0.016747054953404148-0.21928496749382423j),(9.07558829309034e-06-0.00016402409742065534j),(4.1654707491987214e-05-0.00016420198675526918j),(0.0005957351238512058-0.004131320010595439j),(0.0006327407500156795-0.004145093888746065j)
linear,1e-07,35.0,4.6,1.5707963267948966,51,(0.060779565185423906-0.24278851564602374j),(-5.217026681316088e-07-0.00016308156021120575j),(-2.8041813723208957e-05-0.000163049734149801j),(0.002001141442304148-0.003673704615128806j),(0.001980790049453801-0.003695666038173239j)
linear,1e-07,35.0,4.7,1.5707963267948966,51,(0.10819596403278219-0.2508708771202035j),(4.87581670504524e-06-0.00016184814768301577j),(8.11947528378612e-05-0.00016137951228378523j),(0.0029511012957127106-0.0028879056179603314j),(0.003008789987846458-0.0028406914265773067j)
linear,1e-07,35.0,4.8,1.5707963267948966,51,(0.154063763451151-0.24447566218896463j),(9.952189965960201e-06-0.00015986430745396456j),(-2.039297896174949e-05-0.00016221257714242338j),(0.0037377776071850144-0.00176008578789494j),(0.003739046722015339-0.0017971517371416492j)
linear,1e-07,35.0,4.9,1.5707963267948966,51,(0.19436369745760818-0.2256140920314651j),(1.0674685860152106e-05-0.00016304672362742856j),(-8.93682993503217e-05-0.00016168933038671754j),(0.004141324959955099-0.0005232351662617865j),(0.0041233443844051676-0.0006224234944774108j)
linear,1e-07,35.0,5.0,1.5707963267948966,51,(0.2262555434936777-0.19717043658581812j),(-6.612259705988943e-07-0.00016326741133508728j),(3.247550097203525e-05-0.00016316093797288461j),(0.004168943746863292+0.000547515852640279j),(0.00416143084475109+0.0005801157680922009j)
linear,1e-07,35.0,5.1,1.5707963267948966,51,(0.24817029183989847-0.16243938452252132j),(-9.247514322196075e-06-0.00016246627045352703j),(6.399479904508135e-05-0.0001644517266214042j),(0.003870628759319041+0.0016231308100159777j),(0.0038499989252485036+0.0016926032194591713j)
linear,1e-07,35.0,5.2,1.5707963267948966,51,(0.2595265224245656-0.12459502372099393j),(-7.5483576308915575e-06-0.00016148722728515232j),(3.098135287044751e-05-0.0001634505343458286j),(0.0032713845750452146+0.0025880213480777344j),(0.003255249901773822+0.0026209736986792026j)
linear,1e-07,35.0,5.3,1.5707963267948966,51,(0.26059490367973576-0.0865311136921941j),(-1.744134043209081e-06-0.00016483805460774882j),(1.2961627137438037e-05-0.000164422886504056j),(0.0025304672461576743+0.0033810869956296353j),(0.002529305764050649+0.0033987611452376094j)
linear,1e-07,35.0,5.4,1.5707963267948966,51,(0.25224552546115586-0.0506867102462122j),(7.876499424528186e-06-0.00016678915456967851j),(1.2079773099612015e-05-0.000164666269536649j),(0.0016555462835263369+0.0039331590889361764j),(0.0016534699580629617+0.003942593491134827j)
linear,1e-07,35.0,5.5,1.5707963267948966,51,(0.2358648571116258-0.019019823305462067j),(2.2052500781542805e-06-0.00016675157243353967j),(1.656119943603887e-05-0.0001647770262751337j),(0.0006921311555736793+0.004196881336961941j),(0.00068317130656694+0.004205359100813848j)
linear,1e-07,35.0,5.6,1.5707963267948966,51,(0.21307094347349875+0.00707018641782738j),(-7.259323366530489e-06-0.0001674501405496205j),(5.9619805521096345e-06-0.00016605213962815556j),(-0.00027893240006244494+0.004241375546923058j),(-0.00029067820875307727+0.004246979220965143j)
linear,1e-07,35.0,5.7,1.5707963267948966,51,(0.18562760312127483+0.02669243967565891j),(2.6308143608316537e-06-0.00016809562793714184j),(-3.8517376375477724e-05-0.00016808488042086272j),(-0.0012485957589713132+0.004105468820471323j),(-0.0012089303448671873+0.004117822716467546j)
linear,1e-07,35.0,5.8,1.5707963267948966,51,(0.15525647660783257+0.039425150133501j),(2.17081655728016e-06-0.0001689147827132403j),(-7.891986843018301e-05-0.00016904702275693677j),(-0.0021123257805679683+0.0037208916548521903j),(-0.0020398462313339803+0.0037675077687582955j)
linear,1e-07,35.0,5.9,1.5707963267948966,51,(0.1235734804268851+0.04524104792338757j),(-2.73048694454138e-07-0.00016901731652204486j),(-9.781900323500804e-05-0.00016905362649550834j),(-0.0028669043637545933+0.0032366657404490186j),(-0.0027929580882435686+0.003306782251717005j)
linear,1e-07,35.0,6.0,1.5707963267948966,51,(0.09201825897313301+0.04442814468206156j),(-3.5618359341908074e-07-0.00016898897550766126j),(-3.5834680303916495e-05-0.00017004367080877657j),(-0.003440264969845703+0.002686035631605245j),(-0.003420641892228462+0.002714575265758263j)
linear,1e-07,35.0,6.1,1.5707963267948966,51,(0.06184443549214113+0.037528782641535065j),(-5.884752536754103e-06-0.00016835075801694424j),(4.807045950452806e-05-0.00016995856376220822j),(-0.003836325200389951+0.0020500532270873403j),(-0.003863691948867382+0.0020035778154085583j)
linear,1e-07,35.0,6.2,1.5707963267948966,51,(0.03410844013251443+0.02528629588767452j),(-1.2192484377410856e-06-0.00017059626598773015j),(6.2089963393153e-05-0.00017273957128473847j),(-0.004153682718992043+0.001326094221244919j),(-0.004181551487013583+0.001262267502511912j)
linear,1e-07,35.0,6.3,1.5707963267948966,51,(0.010179613468787785+0.009059155902504643j),(4.336304619176931e-05-0.0001836697033413663j),(5.015407974026583e-05-0.00018409104822308598j),(-0.004240931827480925+0.0005432691634781361j),(-0.0042479749898411585+0.000533112297218592j)
linear,1e-07,35.0,6.4,1.5707963267948966,51,(-0.012685802507576343-0.01345001119423016j),(6.8197932074137366e-06-0.00017931969518810128j),(-1.8105584532839358e-05-0.0001757295342847809j),(-0.004177100448313385-0.00026733426638420683j),(-0.004194400939474247-0.00023747523850160682j)
linear,1e-07,35.0,6.5,1.5707963267948966,51,(-0.029234136523200206-0.0367389933357526j),(6.278693742240735e-06-0.0001726685509634064j),(3.49002221998072e-05-0.00017139833722012776j),(-0.004210345394022587-0.0009396611960274933j),(-0.004213469510854195-0.0009668298352382996j)
linear,1e-07,35.0,6.6,1.5707963267948966,51,(-0.04177747579502658-0.06231654149658818j),(1.1610263240813268e-06-0.00016957916467566508j),(-4.790526288713198e-06-0.00017312471396720226j),(-0.004009251407530432-0.001656392660523829j),(-0.0040268287550511385-0.0016520384475936407j)
linear,1e-07,35.0,6.7,1.5707963267948966,51,(-0.050044163532199315-0.0891615894527437j),(-4.840078616768356e-07-0.0001713850265288398j),(-1.7363256149808886e-05-0.00017025707284629526j),(-0.003709683858764272-0.0022874935215510097j),(-0.003732990931708105-0.0022755586315491494j)
linear,1e-07,35.0,6.8,1.5707963267948966,51,(-0.05413635318888702-0.1166119995887729j),(-2.277791177945389e-06-0.00016930150549286128j),(2.1666497768557322e-05-0.00017012504325210633j),(-0.0033342463650514616-0.0027890905122868407j),(-0.003332863308543109-0.0028172476993401875j)
linear,1e-07,35.0,6.9,1.5707963267948966,51,(-0.0541498175882549-0.14383986684857974j),(2.5045115271075252e-06-0.00017096573367368257j),(-1.776251376446169e-05-0.00016954820746019195j),(-0.002842477454950413-0.0032716281983935485j),(-0.0028589456196386103-0.003256075557674192j)
