form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
SS-m,,35.0,3.7,0.0,51,(-0.18137707443007686+1.2337772942654342e-06j),(-0.07893052565165827-1.1681200828983485e-07j),(0.037727281682625985-5.0411098004092584e-08j),(0.08463422759286723+1.3958518057843936e-07j),(0.037727281683256106-2.8902811384014262e-08j)
SS-m,,35.0,3.7,0.4487989505128276,51,(0.11132424853264859+0.14765720120186135j),(-0.045139945119896906+3.960651886851336e-08j),(0.020990611627423977-6.726875921286575e-08j),(-0.027103160747307103-0.041945898433390146j),(0.020990611627362793-4.695449099287081e-08j)
SS-m,,35.0,3.7,0.5235987755982988,51,(0.005539344637935801+0.18305506585744086j),(-0.058969008571332644+4.51749935328125e-07j),(0.02783640455110146-3.720979828320514e-08j),(0.004176577676192012-0.06420803873911413j),(0.027836404551039293-1.7226971001908167e-08j)
SS-m,,35.0,3.7,0.6283185307179586,51,(-0.12855261380660168+0.1256986084345761j),(-0.07746876803170352+3.2195975005164534e-07j),(0.0369693129070988-2.539965788700012e-08j),(0.05555415767733878-0.06244976515939534j),(0.03696931290685633-4.708658319844319e-09j)
SS-m,,35.0,3.7,0.7853981633974483,51,(-0.16560573488220456-0.06410867298538223j),(-0.08291869601905612+2.3922650231994835e-07j),(0.039603302000130416-2.7041199612106938e-08j),(0.09826099540241544-0.0086224178199987j),(0.03960330200050994-8.161130798501724e-09j)
SS-m,,35.0,3.7,1.0471975511965976,51,(0.05260550573234527-0.17228333482284486j),(-0.040523196516020724+3.111584408558345e-08j),(0.018727489903774774-4.516316770642448e-08j),(0.05706375016128119+0.06246525517759232j),(0.01872748990390509-2.5736020028174893e-08j)
SS-m,,35.0,3.7,1.5707963267948966,51,(0.17630098955724086-0.004860076277482477j),(1.3627854026114147e-07-3.968192745230238e-07j),(3.0305771677591187e-07-8.992894837006821e-08j),(1.00398887641226e-06-1.6720183711277341e-06j),(3.030577533855161e-07-6.727118500878342e-08j)
SS-m,,35.0,3.8,0.0,51,(-0.14361859079597278+1.2287560435168177e-06j),(-0.07470493210753515-8.496396202864157e-08j),(0.03459162663291071-5.4848648971299137e-08j),(0.1194268477325644+4.0348786586105823e-07j),(0.034591626757281654-3.4842317838005555e-08j)
SS-m,,35.0,3.8,0.4487989505128276,51,(0.1046597119280078+0.10387616517631891j),(-0.045604048036789156+1.2320767891896867e-07j),(0.02035362486254434-4.923974838612681e-08j),(-0.045290063554107717-0.06115134498286147j),(0.02035362468950199-3.0254269229731625e-08j)
SS-m,,35.0,3.8,0.5235987755982988,51,(0.028610041426644018+0.14329232204590658j),(-0.05564798007986116+1.5029487387126153e-07j),(0.02530041992186548-5.882976340719095e-08j),(0.0004065956492718472-0.09197922876132744j),(0.025300419971360965-4.0241258234671344e-08j)
SS-m,,35.0,3.8,0.6283185307179586,51,(-0.08060916223896573+0.1185794754913615j),(-0.07087621813626753+5.161048600953139e-07j),(0.03279075197133159-1.2710434619507323e-08j),(0.07290018610261652-0.08722066203407193j),(0.03279075185599114+4.404665596981543e-09j)
SS-m,,35.0,3.8,0.7853981633974483,51,(-0.1396944011547875-0.01791509448028967j),(-0.0798320346094385+6.202935640970625e-07j),(0.0372262613510913-2.091714732401506e-08j),(0.12881885320168174-0.010468048637077022j),(0.03722626124094746-7.336645099782256e-10j)
SS-m,,35.0,3.8,1.0471975511965976,51,(0.0010128163372528757-0.14337795506955325j),(-0.051742779031021556+3.098181878724948e-07j),(0.023766389943247847-2.3812479390719062e-08j),(0.06873529916688817+0.08198937544828995j),(0.023766389920377-3.164394312899608e-09j)
SS-m,,35.0,3.8,1.5707963267948966,51,(0.13173884294227645-0.052688856389818975j),(-3.817222194489947e-07-4.323147971476483e-07j),(3.7070456859397694e-07-6.019924672230402e-08j),(1.3989679762965021e-06-2.1117545426806735e-06j),(3.7082107302160994e-07-4.3374531486732073e-08j)
